payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20001624,,C,BAS,4/30/2021,EMP,246
FIV,20001624,,C,AVC,4/30/2021,EMP,246
FIV,20001624,,C,ERS,4/30/2021,ERS,492
FIV,20001630,,C,BAS,4/30/2021,EMP,278.1
FIV,20001630,,C,ERS,4/30/2021,ERS,556.2
FIV,20001635,,C,BAS,4/30/2021,EMP,294.15
FIV,20001635,,C,ERS,4/30/2021,ERS,588.3
FIV,20001639,,C,BAS,4/30/2021,EMP,182.575
FIV,20001639,,C,ERS,4/30/2021,ERS,365.15
FIV,20001662,,C,BAS,4/30/2021,EMP,197.85
FIV,20001662,,C,ERS,4/30/2021,ERS,395.7
FIV,20001711,,C,BAS,4/30/2021,EMP,294.15
FIV,20001711,,C,ERS,4/30/2021,ERS,588.3
FIV,20001732,,C,BAS,4/30/2021,EMP,400.65
FIV,20001732,,C,AVC,4/30/2021,EMP,400.65
FIV,20001732,,C,ERS,4/30/2021,ERS,801.3
FIV,20001760,,C,BAS,4/30/2021,EMP,182.575
FIV,20001760,,C,ERS,4/30/2021,ERS,365.15
FIV,20001766,,C,BAS,4/30/2021,EMP,270.075
FIV,20001766,,C,AVC,4/30/2021,EMP,270.075
FIV,20001766,,C,ERS,4/30/2021,ERS,540.15
FIV,20001771,,C,BAS,4/30/2021,EMP,509.675
FIV,20001771,,C,AVC,4/30/2021,EMP,509.675
FIV,20001771,,C,ERS,4/30/2021,ERS,1019.35
FIV,20001786,,C,BAS,4/30/2021,EMP,410.175
FIV,20001786,,C,ERS,4/30/2021,ERS,820.35
FIV,20001790,,C,BAS,4/30/2021,EMP,492.725
FIV,20001790,,C,AVC,4/30/2021,EMP,492.725
FIV,20001790,,C,ERS,4/30/2021,ERS,985.45
FIV,20001883,,C,BAS,4/30/2021,EMP,246
FIV,20001883,,C,ERS,4/30/2021,ERS,492
FIV,20001896,,C,BAS,4/30/2021,EMP,400.65
FIV,20001896,,C,ERS,4/30/2021,ERS,801.3
FIV,20001900,,C,BAS,4/30/2021,EMP,246
FIV,20001900,,C,ERS,4/30/2021,ERS,492
FIV,20001917,,C,BAS,4/30/2021,EMP,363.75
FIV,20001917,,C,ERS,4/30/2021,ERS,727.5
FIV,20001935,,C,BAS,4/30/2021,EMP,246
FIV,20001935,,C,AVC,4/30/2021,EMP,246
